ModelName,NumFeatures,SumParams,SumFlops
deepsurv,1,1204,800
deephit,1,10016,9600
mtlr,1,576,21312
dsm,1,1328,1280
hierarch,1,152104,150500
mensa,1,628,576
deepsurv,100,40804,40400
deephit,100,20180,19840
mtlr,100,21412,32648
dsm,100,14000,13952
hierarch,100,113524,112400
mensa,100,3796,3744
deepsurv,200,80804,80400
deephit,200,35488,35072
mtlr,200,57888,78624
dsm,200,26800,26752
hierarch,200,172004,170400
mensa,200,6996,6944
deepsurv,300,120804,120400
deephit,300,48288,47872
mtlr,300,86688,107424
dsm,300,39600,39552
hierarch,300,182004,180400
mensa,300,10196,10144
deepsurv,400,160804,160400
deephit,400,57920,57600
mtlr,400,76992,86208
dsm,400,52400,52352
hierarch,400,182308,180800
mensa,400,13396,13344
deepsurv,500,200804,200400
deephit,500,65176,65024
mtlr,500,12024,12168
dsm,500,65200,65152
hierarch,500,175340,174000
mensa,500,16596,16544
deepsurv,600,240804,240400
deephit,600,84576,84224
mtlr,600,134624,147168
dsm,600,78000,77952
hierarch,600,205540,204000
mensa,600,19796,19744
deepsurv,700,280804,280400
deephit,700,101072,100608
mtlr,700,235536,263760
dsm,700,90800,90752
hierarch,700,226852,225200
mensa,700,22996,22944
deepsurv,800,320804,320400
deephit,800,104896,104704
mtlr,800,51264,52288
dsm,800,103600,103552
hierarch,800,209380,208000
mensa,800,26196,26144
deepsurv,900,360804,360400
deephit,900,121920,121600
mtlr,900,172992,182208
dsm,900,116400,116352
hierarch,900,232308,230800
mensa,900,29396,29344
deepsurv,1000,400804,400400
deephit,1000,137360,136960
mtlr,1000,272272,290768
dsm,1000,129200,129152
hierarch,1000,250388,248800
mensa,1000,32596,32544
