ModelName,NumFeatures,SumParams,SumFlops
deepsurv,1,301,200
deephit,1,4088,3936
mtlr,1,240,14640
dsm,1,332,320
hierarch,1,43024,42500
mensa,1,328,288
deepsurv,100,10201,10100
deephit,100,7256,7104
mtlr,100,12120,26520
dsm,100,3500,3488
hierarch,100,52924,52400
mensa,100,3496,3456
deepsurv,200,20201,20100
deephit,200,10456,10304
mtlr,200,24120,38520
dsm,200,6700,6688
hierarch,200,62924,62400
mensa,200,6696,6656
deepsurv,300,30201,30100
deephit,300,13656,13504
mtlr,300,36120,50520
dsm,300,9900,9888
hierarch,300,72924,72400
mensa,300,9896,9856
deepsurv,400,40201,40100
deephit,400,16856,16704
mtlr,400,48120,62520
dsm,400,13100,13088
hierarch,400,82924,82400
mensa,400,13096,13056
deepsurv,500,50201,50100
deephit,500,20056,19904
mtlr,500,60120,74520
dsm,500,16300,16288
hierarch,500,92924,92400
mensa,500,16296,16256
deepsurv,600,60201,60100
deephit,600,23256,23104
mtlr,600,72120,86520
dsm,600,19500,19488
hierarch,600,102924,102400
mensa,600,19496,19456
deepsurv,700,70201,70100
deephit,700,26456,26304
mtlr,700,84120,98520
dsm,700,22700,22688
hierarch,700,112924,112400
mensa,700,22696,22656
deepsurv,800,80201,80100
deephit,800,29656,29504
mtlr,800,96120,110520
dsm,800,25900,25888
hierarch,800,122924,122400
mensa,800,25896,25856
deepsurv,900,90201,90100
deephit,900,32856,32704
mtlr,900,108120,122520
dsm,900,29100,29088
hierarch,900,132924,132400
mensa,900,29096,29056
deepsurv,1000,100201,100100
deephit,1000,36056,35904
mtlr,1000,120120,134520
dsm,1000,32300,32288
hierarch,1000,142924,142400
mensa,1000,32296,32256
