ModelName,DatasetName,Seed,EventId,CI,IBS,MAEH,MAEM,MAEPO,DCalib,GlobalCI,LocalCI
deepsurv,mimic_me,0,1,0.6850594027298723,0.1654476137533494,363.4227315107594,983.124372442188,1571.290731304275,0.999926651072672,0.7221440680467488,0.9077109896782029
deepsurv,mimic_me,0,2,0.7199051214848771,0.1530806888603406,324.1163392920369,968.5586361437988,1538.1820015129765,0.999506464140932,0.7221440680467488,0.9077109896782029
deepsurv,mimic_me,0,3,0.7509371242443071,0.1302081438903827,264.4503941568513,648.9017441923424,836.3088899668287,0.8565297766363345,0.7221440680467488,0.9077109896782029
deephit,mimic_me,0,1,0.6571938158831234,0.1781535983916802,341.3770089995114,976.6348777263674,1635.706508089354,0.0052269704454729,0.7021069544382973,0.895264116575592
deephit,mimic_me,0,2,0.6970104041152391,0.1679237713024474,312.3674023610857,938.5704834036756,1584.1421977961545,0.0036407159760969,0.7021069544382973,0.895264116575592
deephit,mimic_me,0,3,0.7385954565813039,0.1451769789099693,287.06006417335,628.4268421139176,854.2570876134048,2.2942123129087505e-06,0.7021069544382973,0.895264116575592
hierarch,mimic_me,0,1,0.6087328961831482,0.5796138915730531,824.4527350313296,2670.0232579785925,3332.5841708498106,0.0,0.6767735800387306,0.8907103825136612
hierarch,mimic_me,0,2,0.6412466667823796,0.6061098033244243,840.4593559111904,2780.5104586458315,3433.591566742788,0.0,0.6767735800387306,0.8907103825136612
hierarch,mimic_me,0,3,0.7509073890179137,0.3248565647015828,497.29089349603225,1320.1857634540638,1546.1014714666726,0.0,0.6767735800387306,0.8907103825136612
mtlr,mimic_me,0,1,0.6438426259333662,0.1814511175739007,1669.664474599702,3673.991383157341,4271.864918795018,2.099116058807135e-24,0.6801884940113881,0.8041894353369763
mtlr,mimic_me,0,2,0.6842731507322345,0.155090494404669,309.6087524546793,1370.8676367018934,1941.5930235245576,1.187816603453506e-11,0.6801884940113881,0.8041894353369763
mtlr,mimic_me,0,3,0.7041499844819288,0.1436841787812217,302.2780342887252,772.0694813245622,956.4506998415052,5.6677408370489714e-33,0.6801884940113881,0.8041894353369763
dsm,mimic_me,0,1,0.6827788938163043,0.1712127817424317,456.8796755400291,1595.5985406335026,1903.8001066880763,0.9992215988610144,0.7207220213826744,0.9068002428658166
dsm,mimic_me,0,2,0.7112842034489153,0.16246324995269,440.06108986444974,1827.361506710279,2025.7712647324915,0.9306464983346832,0.7207220213826744,0.9068002428658166
dsm,mimic_me,0,3,0.7550281958089438,0.1298278024278765,260.4418533453969,667.9560830806738,854.755910383405,0.0799634496924419,0.7207220213826744,0.9068002428658166
mensa,mimic_me,0,1,0.6781496502377372,0.089347386194939,360.9846496871708,1095.1769024903133,1277.150326689951,0.9109345012146852,0.7198787519458336,0.9107468123861566
mensa,mimic_me,0,2,0.7167968589419758,0.1487846557336863,326.6113891928086,921.2454443591567,1527.6969952656943,0.9999688359533052,0.7198787519458336,0.9107468123861566
mensa,mimic_me,0,3,0.7526592894395963,0.1475056050199195,264.3325721394865,1253.6333474328976,1343.0603830021378,0.9161349326312508,0.7198787519458336,0.9107468123861566
deepsurv,rotterdam_me,0,1,0.7059772770091498,0.192107825562535,1185.6580395052229,2532.687034696753,3594.2064667865548,0.9340765285736522,0.7061085213829149,0.8017751479289941
deepsurv,rotterdam_me,0,2,0.7062619068133299,0.2155927524312441,1019.6815351985696,1782.1220208193463,2783.1436913379134,0.9971819276062224,0.7061085213829149,0.8017751479289941
deephit,rotterdam_me,0,1,0.6481212985034281,0.1854675228552784,1065.889365594349,3080.465345476129,4315.927813330381,0.0244511545683685,0.6640533954868101,0.8550295857988166
deephit,rotterdam_me,0,2,0.6826732531089348,0.2403625928176091,888.6192172037995,2293.7949498359067,3382.4479039172043,0.0037408937515619,0.6640533954868101,0.8550295857988166
hierarch,rotterdam_me,0,1,0.6418876301411381,0.4168839871805471,2023.9219335295056,4226.104556192441,5461.567024046693,0.0,0.6750008828618851,0.6390532544378699
hierarch,rotterdam_me,0,2,0.7137003743167045,0.5999735569074923,2554.9488973148573,4263.344324899388,5351.997278980685,0.0,0.6750008828618851,0.6390532544378699
mtlr,rotterdam_me,0,1,0.7036099574865456,0.1717402066284011,1026.7522179124248,2518.907537469957,3749.762018634193,0.8693654722213441,0.7086644065402409,0.7633136094674556
mtlr,rotterdam_me,0,2,0.7145715461864691,0.2093023973652849,859.6347698172967,1878.079586198843,2937.134506276622,0.8126897674909379,0.7086644065402409,0.7633136094674556
dsm,rotterdam_me,0,1,0.6514224395678209,0.1907908731558654,1111.119347388982,2997.6794693590136,4233.141937213267,3.3738305833367103e-09,0.6646978846629233,0.8905325443786982
dsm,rotterdam_me,0,2,0.6802129105756436,0.2174354121796717,1009.5579076497388,2013.657970981868,3101.9380816392795,0.209065981724439,0.6646978846629233,0.8905325443786982
mensa,rotterdam_me,0,1,0.7110313813186543,0.1662257026725985,913.5647706149198,1172.4256562629178,1550.189531028655,0.9894764956392984,0.7129727725394639,0.8905325443786982
mensa,rotterdam_me,0,2,0.7152416783939803,0.2465285737587782,946.6319728665768,2562.796134594802,4328.313548858695,0.446763305872586,0.7129727725394639,0.8905325443786982
deepsurv,proact_me,0,1,0.7176290808057421,0.164077890483162,87.70634080507268,140.14669774690805,200.0269586706835,0.9153389489190892,0.7028319310486353,0.7267784322609878
