ModelName,DatasetName,Seed,CI,IBS,MAEH,MAEM,MAEPO,DCalib
coxph,seer_se,0,0.6989914664522914,0.1674814144819331,20.27392297731222,30.509877725986566,39.04012241888573,0.0964502235410102
coxboost,seer_se,0,0.7645013005621785,0.1502965677845091,17.17839199086723,26.177847029458587,35.00370538664414,3.1508674477110485e-05
rsf,seer_se,0,0.7429639686518554,0.1695131783223168,19.88952951167208,27.985557726418136,37.50834292017899,4.069131238552705e-05
deepsurv,seer_se,0,0.734432452367582,0.1560307394198472,18.62438576999967,29.00279015262188,37.059636483079245,0.0192230586593389
deephit,seer_se,0,0.7538005693143863,0.1703867865994672,19.65244109700768,28.50224911340679,38.07495103639872,1.537717267912921e-13
mtlr,seer_se,0,0.7059811935041824,0.1644674164037374,20.06620524130781,33.73298441159773,40.69769320049569,0.0229276656657808
dsm,seer_se,0,0.7571179718509091,0.1483318779089222,20.51060362050342,44.80886160086546,47.56022795582526,0.0005726570559048
mensa,seer_se,0,0.7583814015743013,0.1473725260132838,16.766877875520617,26.992713774196336,35.16434822859504,0.7351121268165581
coxph,mimic_se,0,0.7409547361854336,0.1272281756485649,266.6163219132899,590.1729128532169,793.573159573051,0.8415394689400143
coxboost,mimic_se,0,0.7295448118982363,0.1412098172769751,290.89654246708585,616.6038151905162,844.567274768261,0.5251047162770699
rsf,mimic_se,0,0.7168806620173304,0.1494473254679206,316.4242426476504,661.3654472004174,889.3289067781623,0.6269568048263532
deepsurv,mimic_se,0,0.749120524955541,0.123274229129363,259.1430528690681,646.9172074815649,833.6986239748024,0.9691951700680692
deephit,mimic_se,0,0.7449607764532648,0.1363424871162681,274.555907409874,639.9190273414929,867.835054186146,1.4545252711855973e-07
mtlr,mimic_se,0,0.7084791362031955,0.1338896069306911,287.3284307404327,785.3271708293013,957.218457509094,9.200051375128685e-24
dsm,mimic_se,0,0.7479762525435607,0.124154464431274,253.96557588947155,631.7397599461095,831.5730704911892,0.4067879907374044
mensa,mimic_se,0,0.7500924578319313,0.1223515627052202,255.98797473838923,604.070901374248,804.1260424580082,0.8122814983443849
coxph,seer_se,1,0.6992051105185135,0.1681141032755364,20.05368854446099,29.567112815400748,38.12306640203324,0.1698434152169889
