ModelName,Seed,Linear,Copula,KTau,L1
coxph,0,True,clayton,0.0,0.0298410966826631
coxboost,0,True,clayton,0.0,0.141161973720509
rsf,0,True,clayton,0.0,0.1458933245084443
deepsurv,0,True,clayton,0.0,0.0332740666185391
deephit,0,True,clayton,0.0,0.1126130873596564
mtlr,0,True,clayton,0.0,0.0837132858566078
dsm,0,True,clayton,0.0,0.0826973554495893
mensa,0,True,clayton,0.0,0.0825672544564246
coxph,1,True,clayton,0.0,0.0291169546078611
coxboost,1,True,clayton,0.0,0.1390043223186491
rsf,1,True,clayton,0.0,0.1434274228256457
deepsurv,1,True,clayton,0.0,0.0289985363100004
deephit,1,True,clayton,0.0,0.0990796275535557
mtlr,1,True,clayton,0.0,0.0824767954923414
dsm,1,True,clayton,0.0,0.1000750709071329
mensa,1,True,clayton,0.0,0.074813285749462
coxph,2,True,clayton,0.0,0.0262338589962722
coxboost,2,True,clayton,0.0,0.1393823366244955
rsf,2,True,clayton,0.0,0.1441779503576987
deepsurv,2,True,clayton,0.0,0.0281186421588228
deephit,2,True,clayton,0.0,0.1074031310966399
mtlr,2,True,clayton,0.0,0.0845734941091049
dsm,2,True,clayton,0.0,0.0701849937384651
mensa,2,True,clayton,0.0,0.0749903878963859
coxph,3,True,clayton,0.0,0.0526125869267365
coxboost,3,True,clayton,0.0,0.1466922164638211
rsf,3,True,clayton,0.0,0.1510799154284698
deepsurv,3,True,clayton,0.0,0.0418050577306672
deephit,3,True,clayton,0.0,0.111088800165555
mtlr,3,True,clayton,0.0,0.0870554547477892
dsm,3,True,clayton,0.0,0.0484473696458361
mensa,3,True,clayton,0.0,0.0812202406041888
coxph,4,True,clayton,0.0,0.0387027687019432
coxboost,4,True,clayton,0.0,0.1411221322145347
rsf,4,True,clayton,0.0,0.148392621735021
deepsurv,4,True,clayton,0.0,0.040095190939792
deephit,4,True,clayton,0.0,0.1242596242328046
mtlr,4,True,clayton,0.0,0.085539632441589
dsm,4,True,clayton,0.0,0.0736036291822991
mensa,4,True,clayton,0.0,0.0840963621958937
coxph,5,True,clayton,0.0,0.0617387003470197
coxboost,5,True,clayton,0.0,0.1519053293891314
rsf,5,True,clayton,0.0,0.1549965951199933
deepsurv,5,True,clayton,0.0,0.0494108158139075
deephit,5,True,clayton,0.0,0.1870137260817496
mtlr,5,True,clayton,0.0,0.084748058863433
dsm,5,True,clayton,0.0,0.0526620740433097
mensa,5,True,clayton,0.0,0.0854225836874916
coxph,6,True,clayton,0.0,0.0345736940885049
coxboost,6,True,clayton,0.0,0.1438136510295339
rsf,6,True,clayton,0.0,0.1476887408857065
deepsurv,6,True,clayton,0.0,0.0297204939936845
deephit,6,True,clayton,0.0,0.111597188490114
mtlr,6,True,clayton,0.0,0.0830527325900295
dsm,6,True,clayton,0.0,0.0421216116808587
mensa,6,True,clayton,0.0,0.0792987563701741
coxph,7,True,clayton,0.0,0.0305040010894849
coxboost,7,True,clayton,0.0,0.1458091937805521
rsf,7,True,clayton,0.0,0.1481633559000942
deepsurv,7,True,clayton,0.0,0.0296251317921934
deephit,7,True,clayton,0.0,0.111170868989352
mtlr,7,True,clayton,0.0,0.0979699332342509
dsm,7,True,clayton,0.0,0.0506753254599863
mensa,7,True,clayton,0.0,0.0868605857115398
coxph,8,True,clayton,0.0,0.0307430780541425
coxboost,8,True,clayton,0.0,0.1405708597320404
rsf,8,True,clayton,0.0,0.1468754757452837
deepsurv,8,True,clayton,0.0,0.0344513597519664
deephit,8,True,clayton,0.0,0.1040155130048059
mtlr,8,True,clayton,0.0,0.0861862702133315
dsm,8,True,clayton,0.0,0.0593819729569425
mensa,8,True,clayton,0.0,0.0758860121477332
coxph,9,True,clayton,0.0,0.0321164287644256
coxboost,9,True,clayton,0.0,0.1415615072188685
rsf,9,True,clayton,0.0,0.1457470821534011
deepsurv,9,True,clayton,0.0,0.0366066920072745
deephit,9,True,clayton,0.0,0.104320400534431
mtlr,9,True,clayton,0.0,0.0883275579996343
dsm,9,True,clayton,0.0,0.0476653939873265
mensa,9,True,clayton,0.0,0.08083859980148
coxph,0,True,clayton,0.25,0.1256412890447359
coxboost,0,True,clayton,0.25,0.1704217659083387
rsf,0,True,clayton,0.25,0.171743428880287
deepsurv,0,True,clayton,0.25,0.1176971220760188
deephit,0,True,clayton,0.25,0.0907801622775747
